symbol,strategy,timeFrame,signalDate,entryPrice,rsiDaily,rsiWeekly,rsiMonthly,volume,pattern,return5D,return10D,return20D,return40D,maxDrawdown,maxGain,outcome
HIRECT,RSITTF,D,2023-07-24,140.50,44.44,60.17,67.91,4408,,4.31,13.88,28.11,23.84,-1.78,40.46,Win
THEJO,RSITTF,D,2023-07-26,1590.00,44.98,60.96,72.99,1650,,1.45,0.31,-0.63,2.32,-8.80,11.76,Loss
AETHER,RSITTF,D,2023-07-27,1025.20,44.86,61.71,71.72,180168,,1.23,3.02,2.69,-5.19,-7.48,8.11,Loss
NESTLEIND,RSITTF,D,2023-07-28,1124.05,44.68,62.78,65.37,1344218,,-0.12,-2.84,-1.99,2.33,-4.59,3.90,Loss
BRITANNIA,RSITTF,D,2023-07-28,4905.00,43.42,60.97,67.56,357029,,-2.09,-8.00,-7.87,-6.22,-9.85,0.00,Loss
LGBBROSLTD,RSITTF,D,2023-07-31,1060.05,43.49,62.84,70.94,94501,,-3.78,-5.66,-7.08,-0.57,-7.91,7.89,Win
IOC,RSITTF,D,2023-08-01,94.05,42.97,63.86,64.43,16043937,,-1.65,-0.74,-3.46,-4.52,-5.69,2.07,Loss
AMBICAAGAR,RSITTF,D,2023-08-02,34.75,42.87,61.77,62.99,5669,,5.90,7.34,14.10,-5.32,-10.50,23.88,Loss
TIINDIA,RSITTF,D,2023-08-02,3069.90,44.05,61.73,72.36,73900,,-4.69,-9.97,-6.35,-2.66,-10.16,21.71,Loss
MEDANTA,RSITTF,D,2023-08-03,671.05,43.91,79.11,89.44,117119,,2.65,1.66,5.32,11.36,-1.43,13.11,Loss
BNKETFAXIS,RSITTF,D,2023-08-04,453.94,44.91,61.52,66.77,1041,,-0.74,-1.59,-0.25,-1.09,-2.82,5.74,Win
IONEXCHANG,RSITTF,D,2023-08-08,477.55,44.81,68.17,88.15,201808,,7.54,-2.57,14.46,7.58,-4.51,23.96,Loss
LGBBROSLTD,RSITTF,D,2023-08-08,1030.00,40.41,60.39,70.94,34482,,-2.89,-2.96,0.20,0.77,-5.22,11.03,Loss
EMUDHRA,RSITTF,D,2023-08-10,441.65,44.83,66.69,70.25,64493,,18.87,16.37,11.33,6.09,-2.32,21.09,Win
CMSINFO,RSITTF,D,2023-08-11,368.50,44.98,60.78,72.66,2592660,,-4.87,-3.26,1.17,-0.33,-7.38,5.70,Loss
CREST,RSITTF,D,2023-08-17,232.70,44.43,79.49,81.80,33795,,3.01,3.95,1.42,4.00,-4.79,13.02,Win
NIFTY1,RSITTF,D,2023-08-21,207.52,44.74,65.74,65.50,24385,,-0.20,0.93,4.16,1.88,-2.23,5.24,Win
NIFTYBEES,RSITTF,D,2023-08-21,213.27,44.76,64.55,66.07,2954052,,-0.24,1.09,4.06,1.84,-2.87,6.06,Win
SHRIPISTON,RSITTF,D,2023-08-22,1170.00,44.25,67.21,86.27,14686,,-7.69,4.41,-10.47,-0.96,-18.90,7.15,Loss
SENSEXIETF,RSITTF,D,2023-08-22,724.01,42.88,65.68,68.06,1493,,0.15,1.31,2.93,0.69,-2.75,4.31,Win
WSI,RSITTF,D,2023-08-25,105.50,41.22,62.24,99.26,14402,,2.56,3.32,-3.60,-6.78,-11.47,13.46,Win
